Assessor;Sample;Replicate;Cherry.aroma;Apple.aroma;Lime.zest.aroma;Unfresh.aroma;Metallic.aroma;Cherry.flavour;Apple.flavour;Lime.zest.fl.;Sweet.taste;Sour.taste;After.taste;Astringency;Creamy;Fla;Fib
AMG;FD_FLA0FIB0;1;11.4;9.45;1.5;1.5;3.15;4.5;13.05;14.4;0.15;14.55;10.95;3.15;2.1;FLA0;FIB0
AMG;FD_FLA0FIB0;2;13.2;10.95;0.3;6;7.95;3.15;10.8;5.4;4.5;13.5;14.25;12.75;5.55;FLA0;FIB0
AMG;FD_FLA0FIB0;3;14.7;0.15;0.15;0;0;14.85;9.45;3.45;5.25;8.1;3.3;11.4;4.05;FLA0;FIB0
AMG;FD_FLA0FIB1;1;14.25;12.3;0.15;10.95;0;13.8;14.4;0.15;7.2;2.7;0.3;2.85;6.45;FLA0;FIB1
AMG;FD_FLA0FIB1;2;14.85;13.5;0;8.55;0.75;14.85;14.25;0.15;14.4;2.25;14.85;1.05;10.2;FLA0;FIB1
AMG;FD_FLA0FIB1;3;13.2;8.25;0.3;12.9;3.15;12.3;14.85;0.9;7.65;11.85;3.9;1.5;7.35;FLA0;FIB1
AMG;FD_FLA0FIB2;1;14.7;11.4;0;14.85;0.15;14.7;14.7;4.95;4.8;12.45;8.55;6.6;11.4;FLA0;FIB2
AMG;FD_FLA0FIB2;2;15;11.7;0.15;15;0.15;14.7;11.25;0;0;10.95;9.15;9;7.65;FLA0;FIB2
AMG;FD_FLA0FIB2;3;14.25;8.55;0;14.85;3.15;12;11.1;0;4.65;2.55;2.25;8.1;10.65;FLA0;FIB2
AMG;FD_FLA1FIB0;1;8.85;2.7;5.55;7.8;4.35;14.7;9.15;6.15;6.75;9.75;14.7;0.3;12.75;FLA1;FIB0
AMG;FD_FLA1FIB0;2;13.8;0.15;1.65;1.95;0.3;11.7;10.65;6.45;7.65;7.35;4.8;10.2;2.4;FLA1;FIB0
AMG;FD_FLA1FIB0;3;10.65;0.6;15;6.3;0.9;10.2;11.55;5.7;9.9;12.3;13.5;5.55;8.7;FLA1;FIB0
AMG;FD_FLA1FIB1;1;6.15;7.8;4.05;8.4;0.45;10.35;11.7;7.95;5.85;9.9;5.85;2.85;7.95;FLA1;FIB1
AMG;FD_FLA1FIB1;2;2.7;7.8;14.25;0;0;8.85;7.5;10.65;0.3;14.55;0.45;2.1;0.6;FLA1;FIB1
AMG;FD_FLA1FIB1;3;1.95;6.45;4.65;8.7;0.3;12.15;10.5;1.95;10.05;11.85;9.9;6.45;6.75;FLA1;FIB1
AMG;FD_FLA1FIB2;1;14.7;3.15;0.15;14.55;0.15;14.25;10.65;0.15;8.7;7.5;12.15;3.75;11.85;FLA1;FIB2
AMG;FD_FLA1FIB2;2;13.8;9.9;0.15;15;9.45;13.5;14.4;2.4;4.95;7.5;1.35;2.7;13.05;FLA1;FIB2
AMG;FD_FLA1FIB2;3;10.5;3.15;11.25;9.15;3.15;7.2;10.8;9;3.9;9.75;9;5.55;9.45;FLA1;FIB2
AMG;FD_FLA2FIB0;1;4.5;0.15;13.95;1.5;0.3;12.45;13.35;12.45;9;14.7;4.05;5.25;3;FLA2;FIB0
AMG;FD_FLA2FIB0;2;1.5;0.15;14.55;0;0.15;9.45;11.4;10.65;12.45;13.2;1.35;12.45;1.65;FLA2;FIB0
AMG;FD_FLA2FIB0;3;6.15;3;4.05;5.4;5.7;9.9;11.4;10.2;3.3;14.85;4.2;10.35;0.15;FLA2;FIB0
AMG;FD_FLA2FIB1;1;7.35;5.1;10.95;0.3;6;9.45;8.25;10.95;6.15;8.1;12.45;6.15;3.45;FLA2;FIB1
AMG;FD_FLA2FIB1;2;0.45;0.45;13.65;4.95;1.8;10.05;4.2;6.6;13.2;10.35;12.75;5.55;10.5;FLA2;FIB1
AMG;FD_FLA2FIB1;3;2.55;3.45;11.7;5.4;13.2;7.65;9;9.3;7.8;12.6;7.35;4.8;7.65;FLA2;FIB1
AMG;FD_FLA2FIB2;1;7.95;0.9;13.35;10.2;8.85;6.3;10.35;8.25;13.5;1.05;14.4;0.15;14.7;FLA2;FIB2
AMG;FD_FLA2FIB2;2;2.1;1.2;14.85;0.15;0;11.55;8.1;10.2;13.35;4.35;7.8;1.2;13.65;FLA2;FIB2
AMG;FD_FLA2FIB2;3;0.6;2.25;11.25;6.15;12.75;8.7;11.4;5.4;11.25;5.25;9.75;1.35;8.25;FLA2;FIB2
BEP;FD_FLA0FIB0;1;14.85;0;0;0.15;0;14.85;1.65;0.15;15;14.85;14.7;14.55;0.15;FLA0;FIB0
BEP;FD_FLA0FIB0;2;15;0.45;0;4.65;0.15;15;0.9;0;14.25;14.7;14.85;14.55;0;FLA0;FIB0
BEP;FD_FLA0FIB0;3;15;0.6;0;1.65;0.45;15;1.2;0;14.55;14.1;14.85;13.95;0.15;FLA0;FIB0
BEP;FD_FLA0FIB1;1;15;7.8;0;10.8;3.3;14.85;8.1;0;14.55;14.4;14.7;14.85;0.15;FLA0;FIB1
BEP;FD_FLA0FIB1;2;14.25;12.9;0;10.8;3.15;14.85;7.2;0;14.4;13.65;14.7;14.85;0.6;FLA0;FIB1
BEP;FD_FLA0FIB1;3;15;5.85;0;1.95;1.05;14.85;1.95;0;14.7;13.2;13.05;14.85;2.1;FLA0;FIB1
BEP;FD_FLA0FIB2;1;14.85;8.25;0.15;11.7;8.1;14.7;6.75;0;15;6.9;14.85;14.85;13.95;FLA0;FIB2
BEP;FD_FLA0FIB2;2;12.15;15;0;1.65;11.85;13.65;14.7;0;14.85;0.45;12.15;13.95;15;FLA0;FIB2
BEP;FD_FLA0FIB2;3;15;7.2;0;4.35;7.8;14.85;4.95;0;11.25;7.05;14.7;14.25;14.4;FLA0;FIB2
BEP;FD_FLA1FIB0;1;1.35;0.15;14.85;0;0;2.85;0;13.8;11.1;11.25;3.3;0.9;0;FLA1;FIB0
BEP;FD_FLA1FIB0;2;2.55;0;15;0.3;0;4.8;0.15;13.35;12.6;12.6;7.65;7.8;0.45;FLA1;FIB0
BEP;FD_FLA1FIB0;3;1.5;0;14.7;0;0;4.5;0;14.85;12.6;8.1;2.1;8.1;0;FLA1;FIB0
BEP;FD_FLA1FIB1;1;0.15;0.15;14.85;1.05;0;1.05;1.65;15;11.7;11.7;1.8;2.55;0.6;FLA1;FIB1
BEP;FD_FLA1FIB1;2;2.25;0;15;0.3;0.15;1.35;1.5;15;14.55;4.2;0.9;1.8;0.3;FLA1;FIB1
BEP;FD_FLA1FIB1;3;1.2;0.15;15;0.15;0.15;0.3;1.95;15;12.45;5.1;2.4;2.55;0.15;FLA1;FIB1
BEP;FD_FLA1FIB2;1;9.15;14.85;0;1.2;11.4;13.95;14.85;0.15;15;0.75;11.1;7.5;14.85;FLA1;FIB2
BEP;FD_FLA1FIB2;2;13.2;14.85;0;6.75;10.8;14.25;14.85;0;15;2.1;12.6;10.8;14.7;FLA1;FIB2
BEP;FD_FLA1FIB2;3;11.85;14.7;0.15;6;11.1;13.95;14.55;0.15;14.85;1.5;13.35;11.7;15;FLA1;FIB2
BEP;FD_FLA2FIB0;1;0;0;15;0.15;0;0.15;0;15;13.05;8.7;0.6;0.3;0;FLA2;FIB0
BEP;FD_FLA2FIB0;2;0;0;15;0;0;0;0;15;13.65;6.6;0;0;0;FLA2;FIB0
BEP;FD_FLA2FIB0;3;0.15;0;15;0.3;0.15;0;0;15;10.8;10.95;0.6;0.75;0;FLA2;FIB0
BEP;FD_FLA2FIB1;1;0.75;1.05;14.85;0.15;0;3.6;0.9;15;13.05;7.65;1.35;1.2;0.9;FLA2;FIB1
BEP;FD_FLA2FIB1;2;0;1.95;14.4;0.3;0.15;0.15;4.65;14.1;11.7;8.85;0.3;0.6;0.3;FLA2;FIB1
BEP;FD_FLA2FIB1;3;0.15;0.15;14.85;0.15;0;0;1.35;15;12.15;11.55;1.05;2.4;2.4;FLA2;FIB1
BEP;FD_FLA2FIB2;1;0.9;10.5;12.15;0.45;9.3;1.05;13.05;13.05;13.05;7.35;7.35;7.05;13.8;FLA2;FIB2
BEP;FD_FLA2FIB2;2;0.45;13.2;13.2;0.45;8.25;0.45;13.35;14.85;13.5;4.2;7.05;7.8;14.85;FLA2;FIB2
BEP;FD_FLA2FIB2;3;11.85;14.85;0.75;0.15;11.25;12;14.7;0;14.85;0.6;13.65;10.8;15;FLA2;FIB2
HC;FD_FLA0FIB0;1;14.7;14.4;0;0.75;0.15;15;10.8;0;6.9;9;10.65;13.35;0.15;FLA0;FIB0
HC;FD_FLA0FIB0;2;10.2;13.65;0;10.5;14.55;15;10.95;0;1.95;6;12.6;5.1;0;FLA0;FIB0
HC;FD_FLA0FIB0;3;13.8;14.25;0;10.5;14.85;13.05;14.1;0;7.35;9.6;15;14.4;0;FLA0;FIB0
HC;FD_FLA0FIB1;1;12.45;14.7;0;8.25;15;15;13.35;0;9.45;1.65;15;0.15;8.25;FLA0;FIB1
HC;FD_FLA0FIB1;2;11.1;12.75;0;12.3;15;12.3;14.4;0;14.85;0.3;8.1;2.7;6.9;FLA0;FIB1
HC;FD_FLA0FIB1;3;14.85;14.85;0;6.15;14.85;8.7;7.05;0.15;12.15;0.9;15;12;5.85;FLA0;FIB1
HC;FD_FLA0FIB2;1;11.55;14.85;0.15;11.25;15;12;14.7;0;14.85;1.2;14.7;3;12.45;FLA0;FIB2
HC;FD_FLA0FIB2;2;9.45;14.7;0.15;7.65;10.65;14.7;14.4;0;14.85;0.45;1.5;0.15;11.7;FLA0;FIB2
HC;FD_FLA0FIB2;3;4.35;13.95;0;13.95;14.85;7.8;11.55;0;14.85;0.3;15;6.9;15;FLA0;FIB2
HC;FD_FLA1FIB0;1;13.5;14.7;0;2.7;0.9;7.2;9.45;11.55;7.5;7.65;15;3.45;0;FLA1;FIB0
HC;FD_FLA1FIB0;2;12.6;15;0;1.65;0.9;8.85;8.4;6.9;12.9;1.65;12.15;4.95;0;FLA1;FIB0
HC;FD_FLA1FIB0;3;13.5;13.05;0;2.85;0;6;8.4;7.5;7.95;6.3;7.5;4.2;0;FLA1;FIB0
HC;FD_FLA1FIB1;1;9.45;14.1;0.15;11.25;15;1.35;8.25;8.1;14.85;3.6;13.95;9.75;7.95;FLA1;FIB1
HC;FD_FLA1FIB1;2;11.4;9.9;0.15;10.05;14.85;0.9;4.5;11.25;10.35;3.45;15;5.1;7.5;FLA1;FIB1
HC;FD_FLA1FIB1;3;13.35;13.8;0;12.75;15;0.45;7.95;7.5;15;0;11.7;7.2;6.9;FLA1;FIB1
HC;FD_FLA1FIB2;1;11.55;15;0;3.75;3.3;1.95;0.9;7.8;12;1.95;13.8;10.2;15;FLA1;FIB2
HC;FD_FLA1FIB2;2;14.85;10.95;0.15;1.95;0.6;4.65;1.2;13.65;9.15;5.25;15;1.35;15;FLA1;FIB2
HC;FD_FLA1FIB2;3;0.75;3.6;14.7;4.95;14.7;2.25;2.4;14.55;9;3.15;15;7.35;14.85;FLA1;FIB2
HC;FD_FLA2FIB0;1;0;0.75;9.15;6;0.45;0.15;0.6;14.85;8.4;7.65;15;1.2;0;FLA2;FIB0
HC;FD_FLA2FIB0;2;0;0.15;15;7.2;0.75;0;0.15;15;9.15;6.75;15;14.7;0;FLA2;FIB0
HC;FD_FLA2FIB0;3;0.15;0.15;14.85;7.2;0.3;0;0.15;15;4.5;10.2;15;11.1;0;FLA2;FIB0
HC;FD_FLA2FIB1;1;0.45;0.15;13.2;7.8;0.15;0.15;0.45;15;12.3;5.25;15;14.85;4.95;FLA2;FIB1
HC;FD_FLA2FIB1;2;10.8;7.8;0;0.45;3.45;0.75;0.3;7.2;11.55;7.5;14.85;14.7;3.6;FLA2;FIB1
HC;FD_FLA2FIB1;3;0.15;0.9;15;7.35;0.75;0.75;3.3;14.85;14.4;2.4;14.85;1.8;7.5;FLA2;FIB1
